chunk_size,chunk_overlap,event_id,user_id,k,mmr_lambda,faithfulness,relevancy
256,32,1,7,10,0.5,0.14166666666666666,0.6669166667060671
256,32,1,8,10,0.5,0.15833333333333333,0.706698522340391
256,32,1,9,10,0.5,0.0,0.7284853769756106
256,32,1,10,10,0.5,0.0,0.6405498813266266
256,32,1,11,10,0.5,0.08333333333333333,0.5614733458451807
256,32,1,1,15,0.5,0.0611111111111111,0.3362932199566565
256,32,1,2,15,0.5,0.07777777777777777,0.3428993758556247
256,32,1,3,15,0.5,0.16666666666666666,0.3836949257807913
256,32,1,4,15,0.5,0.4,0.14557566216530196
256,32,1,5,15,0.5,0.03333333333333333,0.4392575696090588
256,32,1,7,15,0.5,0.08888888888888888,0.6934722543026484
256,32,1,8,15,0.5,0.14444444444444443,0.5006214393095766
256,32,1,9,15,0.5,0.05555555555555555,0.6298159422903206
256,32,1,10,15,0.5,0.08888888888888888,0.6270585038784152
256,32,1,11,15,0.5,0.08888888888888888,0.6085930239204828
256,32,1,1,20,0.5,0.0,0.44200304677362673
256,32,1,2,20,0.5,0.05833333333333333,0.5279926937202887
256,32,1,3,20,0.5,0.21428571428571427,0.20614851775153062
256,32,1,4,20,0.5,0.2,0.3667093137651961
256,32,1,5,20,0.5,0.06666666666666667,0.4704111861211639
256,32,1,7,20,0.5,0.08333333333333333,0.6755033333769833
256,32,1,8,20,0.5,0.23015873015873017,0.23838453404328167
256,32,1,9,20,0.5,0.025,0.6488633306058031
256,32,1,10,20,0.5,0.08666666666666666,0.648869523072529
256,32,1,11,20,0.5,0.031746031746031744,0.40766908199595014
256,64,1,1,10,0.5,0.08333333333333333,0.5712829746486802
256,64,1,1,15,0.5,0.05555555555555555,0.5269143905226272
256,64,1,2,15,0.5,0.2111111111111111,0.3227816507348717
256,64,1,3,15,0.5,0.45555555555555555,0.4879372085696904
256,64,1,4,15,0.5,0.23333333333333334,0.09753859405628423
256,64,1,5,15,0.5,0.07777777777777777,0.6831719320518232
256,64,1,7,15,0.5,0.04444444444444444,0.44832069079207
256,64,1,8,15,0.5,0.0,0.655097866618167
256,64,1,9,15,0.5,0.05555555555555555,0.7262616439896613
256,64,1,10,15,0.5,0.10555555555555556,0.38616426444639995
256,64,1,11,15,0.5,0.07222222222222222,0.5827003353850639
256,64,1,1,20,0.5,0.06349206349206349,0.40921967842810103
256,64,1,2,20,0.5,0.041666666666666664,0.7206724367838063
256,64,1,3,20,0.5,0.5555555555555556,0.37345503495105264
256,64,1,4,20,0.5,0.4583333333333333,0.07245959807450958
256,64,1,5,20,0.5,0.06666666666666667,0.6893887260512954
