id;name;category
103;Zendaya Coleman;actor
104;Gal Gadot;actor
105;Mahershala Ali;actor
106;Natalie Portman;actor
107;Rami Malek;actor
108;Michael B. Jordan;actor
109;Brie Larson;actor
110;Jennifer Lawrence;actor
111;Chris Evans;actor
112;Mark Ruffalo;actor
113;Chadwick Boseman;actor
114;Emily Blunt;actor
115;Ryan Gosling;actor
116;Eddie Redmayne;actor
117;Lupita Nyong’o;actor
118;Idris Elba;actor
119;Sandra Bullock;actor
120;George Clooney;actor
121;Matt Damon;actor
122;Cate Blanchett;actor
123;Kate Winslet;actor
124;Hugh Jackman;actor
125;Stephen Fry;actor
126;Mindy Kaling;actor
127;Dev Patel;actor
128;Awkwafina;actor
129;Rachel McAdams;actor
130;Donald Glover;actor
131;Willem Dafoe;actor
132;Tessa Thompson;actor
133;Brian Tyree Henry;actor
134;Florence Pugh;actor
135;John Krasinski;actor
136;Paul Rudd;actor
137;Kumail Nanjiani;actor
138;Reese Witherspoon;actor
139;Tony Leung;actor
140;Ken Watanabe;actor
141;Zhang Ziyi;actor
142;Maggie Cheung;actor
143;Gong Li;actor
144;Jackie Chan;actor
145;Jet Li;actor
146;Donnie Yen;actor
147;Michelle Yeoh;actor
148;Simu Liu;actor
149;Tom Cruise;actor
150;Will Smith;actor
151;Angelina Jolie;actor
152;Brad Pitt;actor
153;Morgan Freeman;actor
154;Natalie Dormer;actor
155;Peter Dinklage;actor
156;Saoirse Ronan;actor
157;Anne Hathaway;actor
158;Glenn Close;actor
159;Harrison Ford;actor
160;Arnold Schwarzenegger;actor
161;Sylvester Stallone;actor
162;Robert De Niro;actor
163;Al Pacino;actor
164;Christopher Walken;actor
165;Cristiano Ronaldo;football
166;Kylian Mbappé;football
167;Erling Haaland;football
168;Kevin De Bruyne;football
169;Virgil van Dijk;football
170;Mohamed Salah;football
171;Sadio Mané;football
172;N’Golo Kanté;football
173;Marcus Rashford;football
174;Son Heung-min;football
175;Harry Kane;football
176;Robert Lewandowski;football
177;Thomas Müller;football
178;Joshua Kimmich;football
179;Alphonso Davies;football
180;Megan Rapinoe;football
181;Alex Morgan;football
182;Sam Kerr;football
183;Lucy Bronze;football
184;Christian Pulisic;football
185;Trent Alexander-Arnold;football
186;Jude Bellingham;football
187;Pedri González;football
188;Gavi Páez;football
189;Vinícius Júnior;football
190;Rodrygo Goes;football
191;Marc-André ter Stegen;football
192;Jan Oblak;football
193;Thibaut Courtois;football
194;Karim Benzema;football
195;Luka Modrić;football
196;Paulo Dybala;football
197;Ángel Di María;football
198;Antoine Griezmann;football
199;Raphaël Varane;football
200;João Félix;football
201;Bukayo Saka;football
202;Declan Rice;football
203;Jamal Musiala;football
204;Khvicha Kvaratskhelia;football
205;Victor Osimhen;football
206;Ada Hegerberg;football
207;Wendie Renard;football
208;Aitana Bonmatí;football
209;Caroline Graham Hansen;football
210;Alexia Putellas;football
211;Marta Vieira da Silva;football
212;Christine Sinclair;football
213;Didier Drogba;football
214;Samuel Eto’o;football
215;George Weah;football
216;Zlatan Ibrahimović;football
217;Gary Lineker;football
218;Andrés Iniesta;football
219;Xavi Hernández;football
220;Carles Puyol;football
221;Iker Casillas;football
222;Kaká;football
223;Roberto Carlos;football
224;Fabio Cannavaro;football
225;Paolo Maldini;football
226;Giorgio Chiellini;football
227;Gianluigi Buffon;football
228;David Beckham;football
229;Mia Hamm;football
230;Abby Wambach;football
231;Rafael Nadal;tennis
232;Novak Djokovic;tennis
233;Serena Williams;tennis
234;Venus Williams;tennis
235;Coco Gauff;tennis
236;Naomi Osaka;tennis
237;Carlos Alcaraz;tennis
238;Simona Halep;tennis
239;Iga Świątek;tennis
240;Aryna Sabalenka;tennis
241;Ons Jabeur;tennis
242;Ashleigh Barty;tennis
243;Jannik Sinner;tennis
244;Stefanos Tsitsipas;tennis
245;Dominic Thiem;tennis
246;Andy Murray;tennis
247;Stan Wawrinka;tennis
248;Alexander Zverev;tennis
249;Daniil Medvedev;tennis
250;Felix Auger-Aliassime;tennis
251;Nick Kyrgios;tennis
252;Emma Raducanu;tennis
253;Leylah Fernandez;tennis
254;Elina Svitolina;tennis
255;Petra Kvitová;tennis
256;Victoria Azarenka;tennis
257;Angelique Kerber;tennis
258;Sloane Stephens;tennis
259;Madison Keys;tennis
260;Taylor Fritz;tennis
261;Frances Tiafoe;tennis
262;Sebastian Korda;tennis
263;Martina Navratilova;tennis
264;Chris Evert;tennis
265;Billie Jean King;tennis
266;Björn Borg;tennis
267;Rod Laver;tennis
268;John McEnroe;tennis
269;Jimmy Connors;tennis
270;Ken Rosewall;tennis
271;Margaret Court;tennis
272;Evonne Goolagong;tennis
273;Gabriela Sabatini;tennis
274;Monica Seles;tennis
275;Justine Henin;tennis
276;Kim Clijsters;tennis
277;Garbiñe Muguruza;tennis
278;Steffi Graf;tennis
279;Boris Becker;tennis
280;Warren Buffett;business
281;Yvon Chouinard;business
282;Sara Blakely;business
283;Howard Schultz;business
284;Indra Nooyi;business
285;Sundar Pichai;business
286;Satya Nadella;business
287;Tim Cook;business
288;Melinda French Gates;business
289;Larry Page;business
290;Sergey Brin;business
291;Marillyn Hewson;business
292;Mary Barra;business
293;Reed Hastings;business
294;Marc Benioff;business
295;Stewart Butterfield;business
296;Daniel Ek;business
297;Patrick Collison;business
298;John Collison;business
299;Anne Wojcicki;business
300;Oprah Winfrey;business
301;Richard Branson;business
302;Mukesh Ambani;business
303;Gautam Adani;business
304;Masayoshi Son;business
305;Zhang Yiming;business
306;Pony Ma;business
307;Lei Jun;business
308;Cheng Wei;business
309;Cher Wang;business
310;Jean Liu;business
311;Jessica Tan;business
312;Peter Thiel;business
313;Chamath Palihapitiya;business
314;Michael Bloomberg;business
315;Cathie Wood;business
316;Mark Cuban;business
317;Mark Zuckerberg;business
318;Reid Hoffman;business
319;Max Levchin;business
320;Dustin Moskovitz;business
321;Pierre Omidyar;business
322;Esther Dyson;business
323;Li Ka-shing;business
324;George Soros;business
325;Jamie Dimon;business
326;Adena Friedman;business
327;Suze Orman;business
328;Robert F. Smith;business
329;Paul Polman;business
330;Muhammad Yunus;business
331;Francoise Bettencourt Meyers;business
332;Bernard Arnault;business
333;Robert Iger;business
334;Kevin Johnson;business
335;Fred Smith;business
336;Jim Sinegal;business
337;Tadashi Yanai;business
338;Chip Wilson;business
339;Kevin Plank;business
340;Phil Knight;business
341;Ken Langone;business
342;Mo Ibrahim;business
343;Paul Allen;business
344;Yoshiko Shinohara;business
345;Elon Musk;tech
346;Sam Altman;tech
347;Demis Hassabis;tech
348;Andrew Ng;tech
349;Jeff Dean;tech
350;Ian Goodfellow;tech
351;Fei-Fei Li;tech
352;Timnit Gebru;tech
353;Yoshua Bengio;tech
354;Geoffrey Hinton;tech
355;Ilya Sutskever;tech
356;Miranda Bogen;tech
357;Rumman Chowdhury;tech
358;Joy Buolamwini;tech
359;Brad Smith;tech
360;Kate Crawford;tech
361;Margaret Mitchell;tech
362;Werner Vogels;tech
363;Guido van Rossum;tech
364;Linus Torvalds;tech
365;Mark Russinovich;tech
366;James Gosling;tech
367;Brendan Eich;tech
368;Vitalik Buterin;tech
369;Changpeng Zhao;tech
370;Brian Armstrong;tech
371;Jack Dorsey;tech
372;Evan Spiegel;tech
373;Kevin Systrom;tech
374;Mike Krieger;tech
375;Drew Houston;tech
376;Arvind Krishna;tech
377;Lisa Su;tech
378;Jensen Huang;tech
379;Gwynne Shotwell;tech
380;Parag Agrawal;tech
381;Thomas Kurian;tech
382;Shivon Zilis;tech
383;Reshma Saujani;tech
384;Susan Wojcicki;tech
385;Alexis Ohanian;tech
386;Anne Aaron;tech
387;Leah Culver;tech
388;Steve Wozniak;tech
389;Bill Gates;tech
390;John Carmack;tech
391;Jimmy Wales;tech
392;Brewster Kahle;tech
393;Larry Ellison;tech
394;Charles Hoskinson;tech
395;Martine Rothblatt;tech
396;Parisa Tabriz;tech
397;Bjarne Stroustrup;tech
398;Ken Thompson;tech
399;Grace Hopper;tech
400;Adele Goldberg;tech

